mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,params_str,fold
0.07133227586746216,0.0017103905955815231,0.012311339378356934,0.000507389761250879,1.0,1.0,0.0,200,7,0.3,0.1,0.6,"{'subsample': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0, 'n_estimators': 200, 'max_depth': 7, 'learning_rate': 0.3, 'gamma': 0.1, 'colsample_bytree': 0.6}",1.0,0.8888888888888888,0.75,0.8571428571428571,0.8740079365079365,0.08910365035409488,4,"{""subsample"": 1.0, ""reg_lambda"": 1.0, ""reg_alpha"": 0, ""n_estimators"": 200, ""max_depth"": 7, ""learning_rate"": 0.3, ""gamma"": 0.1, ""colsample_bytree"": 0.6}",14
0.03426593542098999,0.0027630910893570336,0.014687836170196533,0.0034527053927761843,0.8,1.0,1.0,50,5,0.01,0.3,0.6,"{'subsample': 0.8, 'reg_lambda': 1.0, 'reg_alpha': 1.0, 'n_estimators': 50, 'max_depth': 5, 'learning_rate': 0.01, 'gamma': 0.3, 'colsample_bytree': 0.6}",1.0,0.8888888888888888,0.75,0.8571428571428571,0.8740079365079365,0.08910365035409488,4,"{""subsample"": 0.8, ""reg_lambda"": 1.0, ""reg_alpha"": 1.0, ""n_estimators"": 50, ""max_depth"": 5, ""learning_rate"": 0.01, ""gamma"": 0.3, ""colsample_bytree"": 0.6}",14
0.04678398370742798,0.004311349694625346,0.013490140438079834,0.000980009663636422,0.6,2.0,1.0,100,7,0.1,0.0,1.0,"{'subsample': 0.6, 'reg_lambda': 2.0, 'reg_alpha': 1.0, 'n_estimators': 100, 'max_depth': 7, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 1.0}",1.0,0.8888888888888888,0.75,0.8571428571428571,0.8740079365079365,0.08910365035409488,4,"{""subsample"": 0.6, ""reg_lambda"": 2.0, ""reg_alpha"": 1.0, ""n_estimators"": 100, ""max_depth"": 7, ""learning_rate"": 0.1, ""gamma"": 0, ""colsample_bytree"": 1.0}",14
0.03611332178115845,0.007435555791256859,0.013106346130371094,0.0004626444183578069,0.6,2.0,0.0,50,7,0.01,0.3,1.0,"{'subsample': 0.6, 'reg_lambda': 2.0, 'reg_alpha': 0, 'n_estimators': 50, 'max_depth': 7, 'learning_rate': 0.01, 'gamma': 0.3, 'colsample_bytree': 1.0}",1.0,0.8888888888888888,0.75,0.8571428571428571,0.8740079365079365,0.08910365035409488,4,"{""subsample"": 0.6, ""reg_lambda"": 2.0, ""reg_alpha"": 0, ""n_estimators"": 50, ""max_depth"": 7, ""learning_rate"": 0.01, ""gamma"": 0.3, ""colsample_bytree"": 1.0}",14
0.07376593351364136,0.0013594461524888103,0.012017130851745605,0.00021473974419451762,0.6,2.0,1.0,200,5,0.3,0.1,0.6,"{'subsample': 0.6, 'reg_lambda': 2.0, 'reg_alpha': 1.0, 'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.3, 'gamma': 0.1, 'colsample_bytree': 0.6}",1.0,0.8888888888888888,0.75,0.8571428571428571,0.8740079365079365,0.08910365035409488,4,"{""subsample"": 0.6, ""reg_lambda"": 2.0, ""reg_alpha"": 1.0, ""n_estimators"": 200, ""max_depth"": 5, ""learning_rate"": 0.3, ""gamma"": 0.1, ""colsample_bytree"": 0.6}",14
0.028808653354644775,0.0016291879409355587,0.012307226657867432,0.00030475884017318615,0.6,2.0,1.0,50,5,0.3,0.3,0.8,"{'subsample': 0.6, 'reg_lambda': 2.0, 'reg_alpha': 1.0, 'n_estimators': 50, 'max_depth': 5, 'learning_rate': 0.3, 'gamma': 0.3, 'colsample_bytree': 0.8}",0.8571428571428571,0.8888888888888888,0.8571428571428571,0.8571428571428571,0.8650793650793651,0.013746434980705373,81,"{""subsample"": 0.6, ""reg_lambda"": 2.0, ""reg_alpha"": 1.0, ""n_estimators"": 50, ""max_depth"": 5, ""learning_rate"": 0.3, ""gamma"": 0.3, ""colsample_bytree"": 0.8}",14
0.04939424991607666,0.005383162911062716,0.014483511447906494,0.003988881499834327,1.0,1.5,0.0,100,5,0.01,0.1,0.6,"{'subsample': 1.0, 'reg_lambda': 1.5, 'reg_alpha': 0, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.6}",1.0,0.8888888888888888,0.75,0.8571428571428571,0.8740079365079365,0.08910365035409488,4,"{""subsample"": 1.0, ""reg_lambda"": 1.5, ""reg_alpha"": 0, ""n_estimators"": 100, ""max_depth"": 5, ""learning_rate"": 0.01, ""gamma"": 0.1, ""colsample_bytree"": 0.6}",14
0.08000922203063965,0.0013956301402149496,0.011821091175079346,0.00039240690161093406,1.0,2.0,0.1,200,3,0.01,0.1,0.6,"{'subsample': 1.0, 'reg_lambda': 2.0, 'reg_alpha': 0.1, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.6}",1.0,0.8888888888888888,0.75,0.8571428571428571,0.8740079365079365,0.08910365035409488,4,"{""subsample"": 1.0, ""reg_lambda"": 2.0, ""reg_alpha"": 0.1, ""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.01, ""gamma"": 0.1, ""colsample_bytree"": 0.6}",14
0.04635477066040039,0.0030829676036948587,0.012219607830047607,0.00017258626534178,0.8,2.0,1.0,100,7,0.01,0.1,0.8,"{'subsample': 0.8, 'reg_lambda': 2.0, 'reg_alpha': 1.0, 'n_estimators': 100, 'max_depth': 7, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.8}",1.0,0.8888888888888888,0.75,0.8571428571428571,0.8740079365079365,0.08910365035409488,4,"{""subsample"": 0.8, ""reg_lambda"": 2.0, ""reg_alpha"": 1.0, ""n_estimators"": 100, ""max_depth"": 7, ""learning_rate"": 0.01, ""gamma"": 0.1, ""colsample_bytree"": 0.8}",14
0.027471721172332764,0.0008710412308834815,0.012041091918945312,0.0006896240193964561,1.0,2.0,1.0,50,5,0.3,0.1,0.8,"{'subsample': 1.0, 'reg_lambda': 2.0, 'reg_alpha': 1.0, 'n_estimators': 50, 'max_depth': 5, 'learning_rate': 0.3, 'gamma': 0.1, 'colsample_bytree': 0.8}",1.0,0.8888888888888888,0.75,0.8571428571428571,0.8740079365079365,0.08910365035409488,4,"{""subsample"": 1.0, ""reg_lambda"": 2.0, ""reg_alpha"": 1.0, ""n_estimators"": 50, ""max_depth"": 5, ""learning_rate"": 0.3, ""gamma"": 0.1, ""colsample_bytree"": 0.8}",14
0.05461716651916504,0.015359741157490878,0.013198435306549072,0.0018079787314696735,0.8,1.5,0.0,100,7,0.1,0.3,0.6,"{'subsample': 0.8, 'reg_lambda': 1.5, 'reg_alpha': 0, 'n_estimators': 100, 'max_depth': 7, 'learning_rate': 0.1, 'gamma': 0.3, 'colsample_bytree': 0.6}",1.0,0.8888888888888888,0.75,0.8571428571428571,0.8740079365079365,0.08910365035409488,4,"{""subsample"": 0.8, ""reg_lambda"": 1.5, ""reg_alpha"": 0, ""n_estimators"": 100, ""max_depth"": 7, ""learning_rate"": 0.1, ""gamma"": 0.3, ""colsample_bytree"": 0.6}",14
0.07337111234664917,0.0051277297819253016,0.012764811515808105,0.0006515528627160416,0.6,1.5,0.1,200,5,0.3,0.1,0.6,"{'subsample': 0.6, 'reg_lambda': 1.5, 'reg_alpha': 0.1, 'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.3, 'gamma': 0.1, 'colsample_bytree': 0.6}",0.6666666666666666,0.8888888888888888,0.5714285714285714,0.8571428571428571,0.7460317460317459,0.131851172427271,100,"{""subsample"": 0.6, ""reg_lambda"": 1.5, ""reg_alpha"": 0.1, ""n_estimators"": 200, ""max_depth"": 5, ""learning_rate"": 0.3, ""gamma"": 0.1, ""colsample_bytree"": 0.6}",14
0.044507622718811035,0.0007601188604192921,0.012509346008300781,0.0004158109220479759,0.6,2.0,0.1,100,5,0.01,0.0,0.8,"{'subsample': 0.6, 'reg_lambda': 2.0, 'reg_alpha': 0.1, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 0.8}",0.8571428571428571,0.8888888888888888,0.75,0.8571428571428571,0.8382936507936508,0.05259807992782364,83,"{""subsample"": 0.6, ""reg_lambda"": 2.0, ""reg_alpha"": 0.1, ""n_estimators"": 100, ""max_depth"": 5, ""learning_rate"": 0.01, ""gamma"": 0, ""colsample_bytree"": 0.8}",14
0.04236239194869995,0.0012212993096234722,0.013006448745727539,0.000663066715754907,1.0,2.0,0.1,100,7,0.3,0.1,0.8,"{'subsample': 1.0, 'reg_lambda': 2.0, 'reg_alpha': 0.1, 'n_estimators': 100, 'max_depth': 7, 'learning_rate': 0.3, 'gamma': 0.1, 'colsample_bytree': 0.8}",1.0,0.8888888888888888,0.75,0.8571428571428571,0.8740079365079365,0.08910365035409488,4,"{""subsample"": 1.0, ""reg_lambda"": 2.0, ""reg_alpha"": 0.1, ""n_estimators"": 100, ""max_depth"": 7, ""learning_rate"": 0.3, ""gamma"": 0.1, ""colsample_bytree"": 0.8}",14
0.07163619995117188,0.0021625061867990274,0.012491464614868164,0.0003179420142870321,0.8,1.0,0.0,200,5,0.3,0.1,0.8,"{'subsample': 0.8, 'reg_lambda': 1.0, 'reg_alpha': 0, 'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.3, 'gamma': 0.1, 'colsample_bytree': 0.8}",1.0,0.8888888888888888,0.75,0.8571428571428571,0.8740079365079365,0.08910365035409488,4,"{""subsample"": 0.8, ""reg_lambda"": 1.0, ""reg_alpha"": 0, ""n_estimators"": 200, ""max_depth"": 5, ""learning_rate"": 0.3, ""gamma"": 0.1, ""colsample_bytree"": 0.8}",14
0.030542433261871338,0.0017179166331155744,0.012307167053222656,0.00029384511957424335,0.8,1.5,0.1,50,3,0.1,0.3,0.8,"{'subsample': 0.8, 'reg_lambda': 1.5, 'reg_alpha': 0.1, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 0.3, 'colsample_bytree': 0.8}",1.0,0.8888888888888888,0.75,0.8571428571428571,0.8740079365079365,0.08910365035409488,4,"{""subsample"": 0.8, ""reg_lambda"": 1.5, ""reg_alpha"": 0.1, ""n_estimators"": 50, ""max_depth"": 3, ""learning_rate"": 0.1, ""gamma"": 0.3, ""colsample_bytree"": 0.8}",14
0.08119314908981323,0.011611675986722459,0.013331115245819092,0.0007575051359281101,0.6,2.0,0.0,200,7,0.3,0.1,1.0,"{'subsample': 0.6, 'reg_lambda': 2.0, 'reg_alpha': 0, 'n_estimators': 200, 'max_depth': 7, 'learning_rate': 0.3, 'gamma': 0.1, 'colsample_bytree': 1.0}",0.8571428571428571,0.8888888888888888,0.75,0.6666666666666666,0.7906746031746031,0.08817095094803545,97,"{""subsample"": 0.6, ""reg_lambda"": 2.0, ""reg_alpha"": 0, ""n_estimators"": 200, ""max_depth"": 7, ""learning_rate"": 0.3, ""gamma"": 0.1, ""colsample_bytree"": 1.0}",14
0.06510657072067261,0.014437713852861956,0.016997456550598145,0.006772133779346178,1.0,2.0,0.1,100,3,0.1,0.1,0.8,"{'subsample': 1.0, 'reg_lambda': 2.0, 'reg_alpha': 0.1, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.8}",1.0,0.8888888888888888,0.75,0.8571428571428571,0.8740079365079365,0.08910365035409488,4,"{""subsample"": 1.0, ""reg_lambda"": 2.0, ""reg_alpha"": 0.1, ""n_estimators"": 100, ""max_depth"": 3, ""learning_rate"": 0.1, ""gamma"": 0.1, ""colsample_bytree"": 0.8}",14
0.029953062534332275,0.00168153694182716,0.013398170471191406,0.001114154905089873,0.6,1.0,0.1,50,5,0.3,0.3,0.8,"{'subsample': 0.6, 'reg_lambda': 1.0, 'reg_alpha': 0.1, 'n_estimators': 50, 'max_depth': 5, 'learning_rate': 0.3, 'gamma': 0.3, 'colsample_bytree': 0.8}",1.0,0.8888888888888888,0.8571428571428571,0.8571428571428571,0.9007936507936508,0.05872479597995535,1,"{""subsample"": 0.6, ""reg_lambda"": 1.0, ""reg_alpha"": 0.1, ""n_estimators"": 50, ""max_depth"": 5, ""learning_rate"": 0.3, ""gamma"": 0.3, ""colsample_bytree"": 0.8}",14
0.030610382556915283,0.0013755435522673047,0.014204442501068115,0.002812140638687352,1.0,1.5,0.1,50,5,0.01,0.1,0.8,"{'subsample': 1.0, 'reg_lambda': 1.5, 'reg_alpha': 0.1, 'n_estimators': 50, 'max_depth': 5, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.8}",1.0,0.8888888888888888,0.75,0.8571428571428571,0.8740079365079365,0.08910365035409488,4,"{""subsample"": 1.0, ""reg_lambda"": 1.5, ""reg_alpha"": 0.1, ""n_estimators"": 50, ""max_depth"": 5, ""learning_rate"": 0.01, ""gamma"": 0.1, ""colsample_bytree"": 0.8}",14
