n_estimators,learning_rate,minibatch_frac,col_sample,natural_gradient,max_depth,min_samples_split,min_samples_leaf,fold,inner_mean_f1
300,0.1,1.0,0.8,False,7,2,1,14,0.5650793650793651
500,0.1,1.0,0.8,True,3,2,1,14,0.0
300,0.05,1.0,1.0,False,5,5,1,14,0.5970238095238095
100,0.01,1.0,0.5,False,5,2,1,14,0.7460317460317459
500,0.1,1.0,1.0,True,3,5,1,14,0.0
300,0.01,1.0,0.5,True,5,5,1,14,0.0
100,0.01,1.0,1.0,True,5,2,2,14,0.5317460317460316
100,0.05,1.0,0.8,True,5,2,1,14,0.0
100,0.01,1.0,0.8,True,5,5,2,14,0.1
100,0.01,1.0,1.0,False,7,2,1,14,0.5650793650793651
100,0.01,1.0,0.5,False,3,5,1,14,0.6793650793650793
500,0.1,1.0,1.0,True,7,5,2,14,0.0
300,0.1,1.0,0.8,True,7,2,1,14,0.0
100,0.1,1.0,0.8,False,3,5,1,14,0.5303571428571429
300,0.05,1.0,0.8,True,5,2,1,14,0.0
500,0.1,1.0,1.0,False,5,5,1,14,0.5303571428571429
100,0.05,1.0,1.0,False,3,2,2,14,0.6793650793650793
500,0.01,1.0,0.5,False,3,2,2,14,0.7238095238095238
100,0.01,1.0,0.8,False,3,2,1,14,0.5650793650793651
500,0.05,1.0,1.0,False,5,5,1,14,0.5970238095238095
