n_estimators,learning_rate,minibatch_frac,col_sample,natural_gradient,max_depth,min_samples_split,min_samples_leaf,fold,inner_mean_f1
500,0.1,1.0,1.0,False,7,5,1,7,0.7351190476190476
300,0.1,1.0,1.0,True,7,5,1,7,0.0
300,0.05,1.0,0.5,False,7,2,2,7,0.7559523809523809
100,0.1,1.0,1.0,True,3,5,2,7,0.0
500,0.1,1.0,1.0,False,5,5,2,7,0.7113095238095238
500,0.05,1.0,0.5,True,3,2,1,7,0.0
500,0.01,1.0,0.5,False,3,2,2,7,0.6875
500,0.1,1.0,1.0,True,7,5,1,7,0.0
100,0.01,1.0,0.8,False,7,2,2,7,0.7113095238095238
500,0.1,1.0,0.5,False,3,5,2,7,0.8035714285714286
300,0.05,1.0,1.0,True,7,2,1,7,0.0
500,0.01,1.0,0.8,True,5,5,2,7,0.0
100,0.1,1.0,0.8,False,7,5,1,7,0.7083333333333333
100,0.1,1.0,0.5,True,7,2,1,7,0.0
100,0.1,1.0,0.5,False,5,5,1,7,0.7559523809523809
100,0.01,1.0,1.0,True,3,5,2,7,0.42857142857142855
300,0.01,1.0,0.8,True,5,2,1,7,0.0
500,0.05,1.0,1.0,True,3,2,2,7,0.21428571428571427
500,0.1,1.0,1.0,False,5,2,1,7,0.7160714285714286
100,0.05,1.0,0.5,False,7,5,2,7,0.7559523809523809
