n_estimators,learning_rate,minibatch_frac,col_sample,natural_gradient,max_depth,min_samples_split,min_samples_leaf,fold,inner_mean_f1
300,0.05,1.0,1.0,False,7,2,2,24,0.44285714285714284
100,0.01,1.0,1.0,False,3,2,2,24,0.6303571428571428
500,0.01,1.0,0.8,False,5,5,2,24,0.6571428571428571
500,0.01,1.0,0.5,True,7,2,2,24,0.0
500,0.1,1.0,0.8,False,3,2,2,24,0.7238095238095238
500,0.05,1.0,1.0,False,3,5,2,24,0.44285714285714284
500,0.01,1.0,0.5,False,7,5,2,24,0.6642857142857143
300,0.01,1.0,1.0,True,7,5,1,24,0.14285714285714285
100,0.05,1.0,0.8,True,3,2,2,24,0.0
500,0.05,1.0,0.8,True,3,2,2,24,0.0
500,0.1,1.0,0.5,True,5,2,2,24,0.0
500,0.05,1.0,1.0,False,3,5,2,24,0.44285714285714284
300,0.1,1.0,0.5,False,5,5,2,24,0.6900793650793651
300,0.1,1.0,1.0,False,5,5,1,24,0.5857142857142857
300,0.1,1.0,0.5,False,3,5,2,24,0.7
100,0.1,1.0,0.5,False,3,2,1,24,0.7525793650793651
100,0.01,1.0,1.0,True,5,2,2,24,0.1875
100,0.1,1.0,0.5,True,5,5,1,24,0.0
500,0.1,1.0,0.8,True,5,5,2,24,0.0
500,0.05,1.0,0.5,False,3,2,2,24,0.7
