n_estimators,learning_rate,minibatch_frac,col_sample,natural_gradient,max_depth,min_samples_split,min_samples_leaf,fold,inner_mean_f1
500,0.05,1.0,0.5,True,5,5,2,11,0.0
300,0.1,1.0,1.0,True,5,2,2,11,0.0
300,0.01,1.0,0.5,True,3,5,2,11,0.0
100,0.1,1.0,1.0,False,3,5,2,11,0.5125
100,0.05,1.0,0.8,False,5,2,2,11,0.6285714285714286
300,0.01,1.0,0.8,False,7,2,1,11,0.5261904761904762
500,0.05,1.0,1.0,False,5,5,1,11,0.4083333333333333
100,0.01,1.0,1.0,False,5,2,1,11,0.5083333333333334
500,0.1,1.0,1.0,False,5,2,2,11,0.6107142857142858
300,0.01,1.0,0.5,True,5,2,2,11,0.0
100,0.1,1.0,1.0,False,5,2,2,11,0.6107142857142858
100,0.05,1.0,0.5,False,3,2,1,11,0.4857142857142857
500,0.1,1.0,0.8,False,3,5,2,11,0.6970238095238095
100,0.05,1.0,0.8,True,5,5,1,11,0.0
300,0.05,1.0,0.8,True,5,5,2,11,0.0
100,0.05,1.0,0.5,True,7,2,1,11,0.0
500,0.05,1.0,0.8,True,5,2,2,11,0.0
300,0.05,1.0,0.5,True,3,2,2,11,0.0
300,0.05,1.0,1.0,True,3,2,2,11,0.0
100,0.1,1.0,0.5,False,7,5,1,11,0.6303571428571428
