n_estimators,learning_rate,minibatch_frac,col_sample,natural_gradient,max_depth,min_samples_split,min_samples_leaf,fold,inner_mean_f1
300,0.05,1.0,1.0,False,7,5,2,19,0.5930555555555556
300,0.1,1.0,0.8,False,5,2,2,19,0.7192460317460317
500,0.1,1.0,0.5,False,3,5,1,19,0.5803571428571428
100,0.01,1.0,0.8,True,7,2,1,19,0.0
100,0.05,1.0,0.8,False,5,5,1,19,0.4583333333333333
100,0.01,1.0,0.5,False,7,2,1,19,0.625
500,0.01,1.0,0.8,True,5,5,2,19,0.0
300,0.01,1.0,0.8,False,3,2,1,19,0.6178571428571428
300,0.01,1.0,0.5,False,3,5,1,19,0.5583333333333333
300,0.05,1.0,0.5,True,5,5,1,19,0.0
500,0.05,1.0,1.0,True,3,2,2,19,0.0
500,0.05,1.0,0.8,True,5,2,1,19,0.0
100,0.1,1.0,0.5,True,3,5,2,19,0.0
500,0.01,1.0,0.5,False,5,2,1,19,0.625
100,0.01,1.0,0.8,True,5,2,1,19,0.0
100,0.1,1.0,1.0,False,7,5,1,19,0.5136904761904761
100,0.01,1.0,1.0,False,3,2,1,19,0.5732142857142857
500,0.05,1.0,0.8,False,7,2,1,19,0.41369047619047616
300,0.1,1.0,0.8,False,7,5,2,19,0.7192460317460317
500,0.01,1.0,0.5,False,5,2,2,19,0.7638888888888888
