n_estimators,learning_rate,minibatch_frac,col_sample,natural_gradient,max_depth,min_samples_split,min_samples_leaf,fold,inner_mean_f1
100,0.1,1.0,1.0,True,3,2,1,1,0.0
500,0.05,1.0,1.0,False,5,2,1,1,0.575595238095238
300,0.01,1.0,1.0,True,5,2,2,1,0.15
100,0.05,1.0,1.0,False,7,2,2,1,0.44146825396825395
100,0.05,1.0,1.0,False,7,5,2,1,0.515079365079365
500,0.1,1.0,1.0,False,5,2,2,1,0.6103174603174603
100,0.01,1.0,0.8,True,7,5,2,1,0.0
500,0.01,1.0,0.5,False,3,5,1,1,0.7711038961038962
300,0.05,1.0,1.0,False,5,5,1,1,0.575595238095238
500,0.1,1.0,0.8,False,3,5,2,1,0.655952380952381
300,0.1,1.0,0.5,True,7,2,2,1,0.0
100,0.05,1.0,0.8,False,3,5,1,1,0.7433261183261183
100,0.1,1.0,1.0,True,3,2,2,1,0.15
300,0.05,1.0,0.5,True,7,5,1,1,0.0
300,0.01,1.0,0.5,True,3,5,2,1,0.0
300,0.05,1.0,1.0,True,5,5,2,1,0.2928571428571428
100,0.01,1.0,0.8,False,5,2,1,1,0.7086038961038961
300,0.01,1.0,0.8,False,5,2,2,1,0.8068181818181819
100,0.1,1.0,0.8,True,7,2,2,1,0.0
100,0.01,1.0,0.5,False,5,5,1,1,0.7175324675324676
