n_estimators,learning_rate,minibatch_frac,col_sample,natural_gradient,max_depth,min_samples_split,min_samples_leaf,fold,inner_mean_f1
300,0.01,1.0,0.8,False,7,5,2,5,0.6261904761904763
500,0.1,1.0,1.0,True,3,5,2,5,0.08333333333333333
300,0.05,1.0,1.0,True,5,2,1,5,0.0
500,0.01,1.0,0.8,True,3,5,2,5,0.0
500,0.05,1.0,0.5,False,5,2,1,5,0.7833333333333333
100,0.05,1.0,0.8,True,7,5,2,5,0.0
300,0.01,1.0,0.8,True,3,5,2,5,0.0
100,0.1,1.0,0.5,False,7,2,2,5,0.6333333333333334
500,0.1,1.0,0.8,True,7,2,1,5,0.0
300,0.01,1.0,0.8,False,5,5,1,5,0.7317460317460318
100,0.01,1.0,1.0,False,5,2,2,5,0.6484126984126984
300,0.01,1.0,0.5,True,3,2,2,5,0.0
500,0.01,1.0,1.0,False,5,2,2,5,0.6761904761904762
300,0.01,1.0,1.0,True,3,2,1,5,0.0
500,0.01,1.0,1.0,True,5,2,1,5,0.0
300,0.1,1.0,0.5,False,3,5,2,5,0.6333333333333334
100,0.01,1.0,1.0,False,7,2,2,5,0.6484126984126984
100,0.01,1.0,1.0,True,5,2,2,5,0.25
100,0.05,1.0,0.8,False,7,2,2,5,0.6318181818181818
300,0.01,1.0,0.8,True,3,2,2,5,0.0
