n_estimators,learning_rate,minibatch_frac,col_sample,natural_gradient,max_depth,min_samples_split,min_samples_leaf,fold,inner_mean_f1
300,0.1,1.0,0.8,False,7,5,1,3,0.7430555555555555
300,0.01,1.0,1.0,True,3,2,1,3,0.0
100,0.05,1.0,1.0,False,5,5,2,3,0.6666666666666666
100,0.1,1.0,0.5,False,5,2,2,3,0.8184523809523809
100,0.05,1.0,0.8,False,7,5,2,3,0.7708333333333333
500,0.01,1.0,0.8,True,5,2,1,3,0.0
300,0.05,1.0,0.8,True,3,2,2,3,0.0
100,0.05,1.0,0.8,False,3,5,2,3,0.7708333333333333
500,0.01,1.0,1.0,True,3,2,2,3,0.0
300,0.1,1.0,1.0,False,3,2,2,3,0.7142857142857142
100,0.01,1.0,0.5,True,7,5,2,3,0.0
500,0.05,1.0,0.5,False,7,2,2,3,0.8184523809523809
300,0.01,1.0,0.8,True,3,5,1,3,0.0
500,0.05,1.0,0.8,True,5,2,1,3,0.0
100,0.1,1.0,0.8,True,5,2,2,3,0.0
100,0.01,1.0,0.5,False,7,2,1,3,0.8184523809523809
500,0.1,1.0,0.8,False,7,5,2,3,0.7708333333333333
300,0.01,1.0,0.5,True,7,5,2,3,0.0
300,0.01,1.0,0.8,False,7,2,2,3,0.7499999999999999
300,0.1,1.0,0.5,True,3,5,1,3,0.0
