n_estimators,learning_rate,minibatch_frac,col_sample,natural_gradient,max_depth,min_samples_split,min_samples_leaf,fold,inner_mean_f1
300,0.01,1.0,0.5,False,3,2,1,8,0.7587301587301587
500,0.05,1.0,0.5,False,3,5,2,8,0.7319444444444444
100,0.01,1.0,0.5,True,7,2,1,8,0.0
100,0.01,1.0,0.8,False,5,2,2,8,0.8111111111111111
500,0.01,1.0,0.5,True,3,2,2,8,0.0
300,0.1,1.0,0.5,True,3,5,2,8,0.0
100,0.1,1.0,0.5,True,5,5,1,8,0.0
100,0.01,1.0,0.5,False,3,2,1,8,0.7587301587301587
500,0.1,1.0,1.0,True,7,5,2,8,0.1875
300,0.05,1.0,0.5,True,7,2,2,8,0.0
300,0.05,1.0,1.0,False,3,2,1,8,0.7319444444444444
100,0.05,1.0,0.5,False,5,2,2,8,0.753968253968254
300,0.1,1.0,1.0,False,5,5,2,8,0.7430555555555555
100,0.01,1.0,0.8,True,3,5,1,8,0.0
300,0.1,1.0,1.0,False,7,5,1,8,0.7319444444444444
300,0.01,1.0,1.0,False,5,2,2,8,0.798611111111111
300,0.05,1.0,1.0,True,7,5,1,8,0.35416666666666663
100,0.1,1.0,0.8,True,5,5,2,8,0.0
100,0.01,1.0,1.0,True,5,2,2,8,0.5541666666666667
500,0.1,1.0,0.8,False,3,5,2,8,0.7319444444444444
