n_estimators,learning_rate,minibatch_frac,col_sample,natural_gradient,max_depth,min_samples_split,min_samples_leaf,fold,inner_mean_f1
100,0.05,1.0,1.0,True,3,5,1,2,0.08333333333333333
500,0.05,1.0,1.0,True,7,2,1,2,0.0
500,0.05,1.0,0.5,False,5,2,1,2,0.5416666666666666
100,0.1,1.0,0.5,True,3,2,2,2,0.0
300,0.01,1.0,0.5,False,3,2,1,2,0.5416666666666666
100,0.1,1.0,0.8,True,7,5,1,2,0.0
500,0.1,1.0,0.8,True,3,5,2,2,0.0
100,0.05,1.0,1.0,True,3,5,2,2,0.14285714285714285
300,0.1,1.0,0.5,False,7,2,1,2,0.5416666666666666
300,0.05,1.0,1.0,True,3,2,2,2,0.0
300,0.1,1.0,1.0,False,7,2,2,2,0.5444444444444445
300,0.1,1.0,0.8,False,3,2,2,2,0.44166666666666665
500,0.05,1.0,0.8,False,3,2,1,2,0.41666666666666663
300,0.1,1.0,0.8,False,3,5,1,2,0.5416666666666666
100,0.1,1.0,1.0,True,5,5,2,2,0.0
100,0.1,1.0,1.0,True,3,2,2,2,0.0
100,0.1,1.0,1.0,False,3,5,2,2,0.5047619047619047
300,0.1,1.0,1.0,False,5,2,1,2,0.5761904761904761
500,0.05,1.0,0.8,False,5,5,2,2,0.5833333333333333
500,0.05,1.0,0.5,False,3,2,1,2,0.6041666666666666
