n_estimators,learning_rate,minibatch_frac,col_sample,natural_gradient,max_depth,min_samples_split,min_samples_leaf,fold,inner_mean_f1
300,0.1,1.0,1.0,True,5,5,2,20,0.0
300,0.05,1.0,1.0,False,3,5,2,20,0.8309523809523809
100,0.05,1.0,0.5,False,5,2,2,20,0.7952380952380952
500,0.01,1.0,0.5,True,7,2,2,20,0.0
300,0.05,1.0,1.0,False,3,5,1,20,0.8785714285714286
500,0.1,1.0,0.5,False,3,2,1,20,0.8160714285714286
100,0.05,1.0,1.0,False,3,2,2,20,0.7238095238095238
500,0.05,1.0,1.0,False,7,2,1,20,0.8785714285714286
500,0.1,1.0,0.5,True,3,5,1,20,0.0
500,0.1,1.0,0.5,True,5,2,1,20,0.0
300,0.05,1.0,0.5,True,5,2,2,20,0.0
500,0.1,1.0,0.8,True,7,5,1,20,0.0
500,0.1,1.0,0.8,True,3,5,2,20,0.0
300,0.1,1.0,0.5,True,3,5,1,20,0.0
300,0.1,1.0,0.8,False,3,5,1,20,0.873015873015873
300,0.05,1.0,0.8,False,5,2,2,20,0.7684523809523809
500,0.1,1.0,0.5,False,7,5,2,20,0.7285714285714285
500,0.01,1.0,1.0,True,5,2,1,20,0.0
500,0.01,1.0,1.0,False,7,2,1,20,0.8785714285714286
300,0.05,1.0,0.8,False,7,2,2,20,0.7684523809523809
