n_estimators,learning_rate,minibatch_frac,col_sample,natural_gradient,max_depth,min_samples_split,min_samples_leaf,fold,inner_mean_f1
500,0.1,1.0,1.0,False,3,5,2,18,0.6579365079365079
300,0.05,1.0,1.0,True,7,2,1,18,0.0
100,0.01,1.0,0.5,False,7,5,2,18,0.6936507936507936
100,0.05,1.0,0.5,True,7,5,1,18,0.0
100,0.01,1.0,0.8,True,7,2,1,18,0.0
100,0.05,1.0,0.8,True,3,2,2,18,0.0
300,0.01,1.0,0.8,False,5,2,1,18,0.6421356421356421
300,0.01,1.0,1.0,False,5,2,1,18,0.6603174603174603
500,0.05,1.0,0.8,False,5,5,1,18,0.6421356421356421
100,0.01,1.0,0.5,False,3,5,1,18,0.7532467532467533
500,0.01,1.0,1.0,False,7,5,1,18,0.6851190476190476
300,0.01,1.0,0.8,True,3,5,2,18,0.25
300,0.1,1.0,1.0,False,5,5,2,18,0.5071428571428571
500,0.01,1.0,1.0,True,7,2,2,18,0.07142857142857142
100,0.05,1.0,1.0,False,7,2,1,18,0.5888888888888889
300,0.01,1.0,0.5,False,7,5,1,18,0.6907467532467533
100,0.05,1.0,1.0,False,5,2,2,18,0.7055555555555555
300,0.1,1.0,0.8,False,5,2,2,18,0.6
100,0.1,1.0,0.8,False,3,5,2,18,0.6698412698412698
100,0.01,1.0,0.8,False,3,2,1,18,0.6421356421356421
