n_estimators,learning_rate,minibatch_frac,col_sample,natural_gradient,max_depth,min_samples_split,min_samples_leaf,fold,inner_mean_f1
100,0.01,1.0,0.8,False,7,2,1,12,0.22619047619047616
100,0.01,1.0,0.8,False,3,5,1,12,0.3261904761904762
500,0.1,1.0,0.5,False,3,5,1,12,0.41428571428571426
100,0.1,1.0,1.0,True,3,5,1,12,0.0
500,0.1,1.0,0.8,True,3,5,2,12,0.0
100,0.01,1.0,0.5,False,7,5,1,12,0.6208333333333333
300,0.1,1.0,0.8,False,3,5,1,12,0.44999999999999996
100,0.05,1.0,0.8,False,7,2,1,12,0.16666666666666666
300,0.1,1.0,0.5,False,5,2,1,12,0.5142857142857142
500,0.01,1.0,0.5,False,5,5,1,12,0.6208333333333333
300,0.05,1.0,0.8,False,7,5,1,12,0.42619047619047623
500,0.05,1.0,0.8,True,3,2,2,12,0.0
300,0.05,1.0,0.5,False,7,5,2,12,0.6416666666666666
100,0.05,1.0,0.8,True,7,5,1,12,0.0
100,0.01,1.0,0.8,True,7,5,2,12,0.0
100,0.1,1.0,0.5,True,5,5,2,12,0.0
500,0.01,1.0,1.0,False,5,2,1,12,0.2875
300,0.05,1.0,1.0,True,5,2,2,12,0.0
100,0.1,1.0,1.0,False,3,5,2,12,0.5732142857142857
500,0.05,1.0,0.8,True,3,5,1,12,0.0
