n_estimators,learning_rate,minibatch_frac,col_sample,natural_gradient,max_depth,min_samples_split,min_samples_leaf,fold,inner_mean_f1
500,0.1,1.0,0.5,True,5,5,2,10,0.0
300,0.05,1.0,0.8,False,5,5,2,10,0.9365079365079365
100,0.01,1.0,0.8,False,7,2,1,10,0.8365079365079365
100,0.01,1.0,0.5,False,7,5,2,10,0.8587301587301587
500,0.05,1.0,1.0,True,5,5,2,10,0.0
100,0.01,1.0,0.8,True,3,5,1,10,0.0
500,0.1,1.0,1.0,True,5,5,1,10,0.0
100,0.1,1.0,1.0,False,3,2,1,10,0.8865079365079366
100,0.05,1.0,0.8,False,7,2,2,10,0.9365079365079365
100,0.01,1.0,0.8,False,5,5,2,10,0.9087301587301587
300,0.01,1.0,0.5,False,5,5,2,10,0.9087301587301587
100,0.1,1.0,0.5,True,5,5,1,10,0.0
500,0.01,1.0,0.8,True,7,5,1,10,0.0
500,0.1,1.0,0.8,True,7,5,2,10,0.0
500,0.1,1.0,0.5,False,3,5,1,10,0.8865079365079366
100,0.01,1.0,0.5,False,7,2,1,10,0.8865079365079366
100,0.05,1.0,0.5,True,3,5,2,10,0.0
500,0.1,1.0,0.8,True,7,2,2,10,0.0
300,0.05,1.0,0.8,False,7,2,1,10,0.8365079365079365
300,0.05,1.0,0.8,True,7,2,2,10,0.0
