n_estimators,learning_rate,minibatch_frac,col_sample,natural_gradient,max_depth,min_samples_split,min_samples_leaf,fold,inner_mean_f1
100,0.05,1.0,0.5,False,5,5,1,21,0.6595238095238094
100,0.05,1.0,0.8,False,3,5,2,21,0.726190476190476
300,0.05,1.0,0.5,True,7,5,2,21,0.0
300,0.1,1.0,0.5,False,7,5,1,21,0.6595238095238094
100,0.05,1.0,1.0,True,7,5,2,21,0.0
500,0.05,1.0,0.5,False,7,5,2,21,0.726190476190476
100,0.01,1.0,0.8,True,7,2,1,21,0.0
300,0.05,1.0,0.8,True,7,2,2,21,0.0
500,0.05,1.0,0.8,False,5,2,2,21,0.7470238095238095
100,0.05,1.0,1.0,True,3,2,1,21,0.0
500,0.1,1.0,1.0,False,5,2,1,21,0.5803571428571429
100,0.01,1.0,0.5,True,5,2,2,21,0.0
500,0.05,1.0,1.0,False,3,5,1,21,0.5553571428571429
300,0.05,1.0,1.0,False,7,5,1,21,0.6220238095238095
500,0.1,1.0,1.0,True,3,5,1,21,0.0
500,0.05,1.0,0.8,True,3,2,2,21,0.0
300,0.05,1.0,1.0,False,3,5,1,21,0.5553571428571429
300,0.05,1.0,0.8,True,7,2,2,21,0.0
500,0.05,1.0,1.0,False,5,5,1,21,0.6220238095238095
500,0.05,1.0,0.8,True,3,2,1,21,0.0
