n_estimators,learning_rate,minibatch_frac,col_sample,natural_gradient,max_depth,min_samples_split,min_samples_leaf,fold,inner_mean_f1
300,0.1,1.0,0.8,False,3,2,2,15,0.6761904761904762
300,0.01,1.0,1.0,False,7,2,2,15,0.6488095238095237
300,0.05,1.0,0.5,True,7,5,1,15,0.0
500,0.1,1.0,0.8,False,7,2,1,15,0.49761904761904757
500,0.05,1.0,1.0,False,7,5,2,15,0.5928571428571429
100,0.01,1.0,1.0,False,5,5,2,15,0.6488095238095237
500,0.05,1.0,1.0,True,7,2,1,15,0.0
500,0.01,1.0,0.8,False,3,5,1,15,0.6821428571428572
300,0.05,1.0,1.0,True,5,5,1,15,0.14285714285714285
500,0.05,1.0,0.8,False,5,5,2,15,0.5571428571428572
100,0.01,1.0,1.0,True,7,2,1,15,0.0
300,0.1,1.0,0.5,True,7,5,2,15,0.0
100,0.01,1.0,1.0,False,3,5,1,15,0.6238095238095238
500,0.05,1.0,1.0,False,5,2,1,15,0.5511904761904762
100,0.1,1.0,0.5,False,7,2,2,15,0.5928571428571429
300,0.05,1.0,0.8,True,5,2,1,15,0.0
300,0.1,1.0,0.5,True,3,5,2,15,0.0
100,0.01,1.0,1.0,True,7,2,1,15,0.0
100,0.1,1.0,0.5,False,7,5,1,15,0.569047619047619
300,0.1,1.0,0.5,False,7,2,2,15,0.5928571428571429
