mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_max_depth,param_class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,params_str,fold
0.14705663919448853,0.00274428671954246,0.013960003852844238,8.036200514577754e-05,50,2,2,,"{'n_estimators': 50, 'min_samples_split': 2, 'max_depth': 2, 'class_weight': None}",1.0,0.9375,0.5833333333333333,1.0,0.8802083333333333,0.17328963291264718,7,"{""n_estimators"": 50, ""min_samples_split"": 2, ""max_depth"": 2, ""class_weight"": null}",24
0.28962773084640503,0.0037548627494472455,0.021366596221923828,0.000519854995919784,100,2,2,,"{'n_estimators': 100, 'min_samples_split': 2, 'max_depth': 2, 'class_weight': None}",1.0,0.75,0.5833333333333333,0.9166666666666667,0.8125,0.1600238697472627,20,"{""n_estimators"": 100, ""min_samples_split"": 2, ""max_depth"": 2, ""class_weight"": null}",24
0.14506959915161133,0.003950275107112948,0.014290153980255127,0.0010623546691460335,50,5,2,,"{'n_estimators': 50, 'min_samples_split': 5, 'max_depth': 2, 'class_weight': None}",1.0,0.9375,0.5833333333333333,1.0,0.8802083333333333,0.17328963291264718,7,"{""n_estimators"": 50, ""min_samples_split"": 5, ""max_depth"": 2, ""class_weight"": null}",24
0.2921483516693115,0.001158470073617904,0.023336350917816162,0.0022558424215128265,100,5,2,,"{'n_estimators': 100, 'min_samples_split': 5, 'max_depth': 2, 'class_weight': None}",1.0,0.75,0.5833333333333333,0.9166666666666667,0.8125,0.1600238697472627,20,"{""n_estimators"": 100, ""min_samples_split"": 5, ""max_depth"": 2, ""class_weight"": null}",24
0.1438283920288086,0.002847371847937362,0.014056503772735596,0.0008418136720641381,50,10,2,,"{'n_estimators': 50, 'min_samples_split': 10, 'max_depth': 2, 'class_weight': None}",0.9375,0.9375,0.75,1.0,0.90625,0.09375,1,"{""n_estimators"": 50, ""min_samples_split"": 10, ""max_depth"": 2, ""class_weight"": null}",24
0.28393107652664185,0.003210843464709761,0.021803975105285645,0.0004977330464430551,100,10,2,,"{'n_estimators': 100, 'min_samples_split': 10, 'max_depth': 2, 'class_weight': None}",1.0,0.75,0.5,0.9166666666666667,0.7916666666666667,0.19094065395649334,35,"{""n_estimators"": 100, ""min_samples_split"": 10, ""max_depth"": 2, ""class_weight"": null}",24
0.14427083730697632,0.003001189461784094,0.013824820518493652,0.0001729256791527702,50,2,4,,"{'n_estimators': 50, 'min_samples_split': 2, 'max_depth': 4, 'class_weight': None}",1.0,0.75,0.5833333333333333,1.0,0.8333333333333333,0.17677669529663692,11,"{""n_estimators"": 50, ""min_samples_split"": 2, ""max_depth"": 4, ""class_weight"": null}",24
0.28411316871643066,0.0041579136013217164,0.02110069990158081,0.0010050033364483073,100,2,4,,"{'n_estimators': 100, 'min_samples_split': 2, 'max_depth': 4, 'class_weight': None}",1.0,0.6875,0.5833333333333333,0.9166666666666667,0.796875,0.16820578397869945,30,"{""n_estimators"": 100, ""min_samples_split"": 2, ""max_depth"": 4, ""class_weight"": null}",24
0.142927348613739,0.002806598522381134,0.01614820957183838,0.0038763372265314144,50,5,4,,"{'n_estimators': 50, 'min_samples_split': 5, 'max_depth': 4, 'class_weight': None}",1.0,0.6875,0.5833333333333333,1.0,0.8177083333333333,0.18597469865997007,15,"{""n_estimators"": 50, ""min_samples_split"": 5, ""max_depth"": 4, ""class_weight"": null}",24
0.2927926778793335,0.004752470003882265,0.021982014179229736,0.00042804211114149825,100,5,4,,"{'n_estimators': 100, 'min_samples_split': 5, 'max_depth': 4, 'class_weight': None}",1.0,0.6875,0.5833333333333333,0.9166666666666667,0.796875,0.16820578397869945,30,"{""n_estimators"": 100, ""min_samples_split"": 5, ""max_depth"": 4, ""class_weight"": null}",24
0.14298677444458008,0.0032956225518224105,0.01390218734741211,0.00036552791272937725,50,10,4,,"{'n_estimators': 50, 'min_samples_split': 10, 'max_depth': 4, 'class_weight': None}",0.9375,0.9375,0.75,1.0,0.90625,0.09375,1,"{""n_estimators"": 50, ""min_samples_split"": 10, ""max_depth"": 4, ""class_weight"": null}",24
0.2923310399055481,0.0032121698968903,0.02240431308746338,0.0010781099986041866,100,10,4,,"{'n_estimators': 100, 'min_samples_split': 10, 'max_depth': 4, 'class_weight': None}",1.0,0.75,0.5833333333333334,0.9166666666666667,0.8125,0.16002386974726268,20,"{""n_estimators"": 100, ""min_samples_split"": 10, ""max_depth"": 4, ""class_weight"": null}",24
0.1520206332206726,0.00399332900263311,0.014710724353790283,0.00032574292832773013,50,2,,,"{'n_estimators': 50, 'min_samples_split': 2, 'max_depth': None, 'class_weight': None}",1.0,0.71875,0.5833333333333333,1.0,0.8255208333333333,0.18092868429876824,13,"{""n_estimators"": 50, ""min_samples_split"": 2, ""max_depth"": null, ""class_weight"": null}",24
0.29231202602386475,0.002981798783089642,0.02244091033935547,0.00022372874760039858,100,2,,,"{'n_estimators': 100, 'min_samples_split': 2, 'max_depth': None, 'class_weight': None}",1.0,0.6875,0.5416666666666666,0.9166666666666667,0.7864583333333333,0.18184469010516766,36,"{""n_estimators"": 100, ""min_samples_split"": 2, ""max_depth"": null, ""class_weight"": null}",24
0.15151828527450562,0.0027137249069548613,0.014493346214294434,0.00023982684148844889,50,5,,,"{'n_estimators': 50, 'min_samples_split': 5, 'max_depth': None, 'class_weight': None}",1.0,0.6875,0.5833333333333333,1.0,0.8177083333333333,0.18597469865997007,15,"{""n_estimators"": 50, ""min_samples_split"": 5, ""max_depth"": null, ""class_weight"": null}",24
0.31842273473739624,0.036151370965452415,0.021998167037963867,0.0008962341969052515,100,5,,,"{'n_estimators': 100, 'min_samples_split': 5, 'max_depth': None, 'class_weight': None}",1.0,0.6875,0.5833333333333333,0.9166666666666667,0.796875,0.16820578397869945,30,"{""n_estimators"": 100, ""min_samples_split"": 5, ""max_depth"": null, ""class_weight"": null}",24
0.15106332302093506,0.006060588464164544,0.01733100414276123,0.003097067687290438,50,10,,,"{'n_estimators': 50, 'min_samples_split': 10, 'max_depth': None, 'class_weight': None}",0.9375,0.9375,0.75,1.0,0.90625,0.09375,1,"{""n_estimators"": 50, ""min_samples_split"": 10, ""max_depth"": null, ""class_weight"": null}",24
0.3094407320022583,0.012077314112574669,0.023042917251586914,0.0008327835887763581,100,10,,,"{'n_estimators': 100, 'min_samples_split': 10, 'max_depth': None, 'class_weight': None}",1.0,0.75,0.5833333333333334,0.9166666666666667,0.8125,0.16002386974726268,20,"{""n_estimators"": 100, ""min_samples_split"": 10, ""max_depth"": null, ""class_weight"": null}",24
0.1583186388015747,0.012285384419292106,0.014761567115783691,0.00010447992074378552,50,2,2,balanced,"{'n_estimators': 50, 'min_samples_split': 2, 'max_depth': 2, 'class_weight': 'balanced'}",1.0,0.9375,0.5833333333333333,1.0,0.8802083333333333,0.17328963291264718,7,"{""n_estimators"": 50, ""min_samples_split"": 2, ""max_depth"": 2, ""class_weight"": ""balanced""}",24
0.3012351989746094,0.006399712628397553,0.02276468276977539,0.0002980599857545178,100,2,2,balanced,"{'n_estimators': 100, 'min_samples_split': 2, 'max_depth': 2, 'class_weight': 'balanced'}",1.0,0.75,0.5833333333333333,0.9166666666666667,0.8125,0.1600238697472627,20,"{""n_estimators"": 100, ""min_samples_split"": 2, ""max_depth"": 2, ""class_weight"": ""balanced""}",24
0.15018397569656372,0.0024634026094250256,0.014192521572113037,0.0002754362236573066,50,5,2,balanced,"{'n_estimators': 50, 'min_samples_split': 5, 'max_depth': 2, 'class_weight': 'balanced'}",1.0,0.9375,0.5833333333333333,1.0,0.8802083333333333,0.17328963291264718,7,"{""n_estimators"": 50, ""min_samples_split"": 5, ""max_depth"": 2, ""class_weight"": ""balanced""}",24
0.30163735151290894,0.014224328724291215,0.02420961856842041,0.002970780474061959,100,5,2,balanced,"{'n_estimators': 100, 'min_samples_split': 5, 'max_depth': 2, 'class_weight': 'balanced'}",1.0,0.75,0.5833333333333333,0.9166666666666667,0.8125,0.1600238697472627,20,"{""n_estimators"": 100, ""min_samples_split"": 5, ""max_depth"": 2, ""class_weight"": ""balanced""}",24
0.15263617038726807,0.005779287940705397,0.014140903949737549,0.0002081871643641885,50,10,2,balanced,"{'n_estimators': 50, 'min_samples_split': 10, 'max_depth': 2, 'class_weight': 'balanced'}",0.9375,0.9375,0.75,1.0,0.90625,0.09375,1,"{""n_estimators"": 50, ""min_samples_split"": 10, ""max_depth"": 2, ""class_weight"": ""balanced""}",24
0.3001183867454529,0.009054924323682571,0.024163663387298584,0.0024984139055108327,100,10,2,balanced,"{'n_estimators': 100, 'min_samples_split': 10, 'max_depth': 2, 'class_weight': 'balanced'}",1.0,0.75,0.5833333333333334,0.9166666666666667,0.8125,0.16002386974726268,20,"{""n_estimators"": 100, ""min_samples_split"": 10, ""max_depth"": 2, ""class_weight"": ""balanced""}",24
0.15934717655181885,0.012720915218202873,0.016004621982574463,0.0024928804663956953,50,2,4,balanced,"{'n_estimators': 50, 'min_samples_split': 2, 'max_depth': 4, 'class_weight': 'balanced'}",1.0,0.75,0.5833333333333333,1.0,0.8333333333333333,0.17677669529663692,11,"{""n_estimators"": 50, ""min_samples_split"": 2, ""max_depth"": 4, ""class_weight"": ""balanced""}",24
