mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_max_depth,param_class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,params_str,fold
0.15059822797775269,0.0014890792803818169,0.013875365257263184,0.0002606538035434543,50,2,2,,"{'n_estimators': 50, 'min_samples_split': 2, 'max_depth': 2, 'class_weight': None}",0.875,1.0,0.6666666666666666,1.0,0.8854166666666666,0.13621559198564606,34,"{""n_estimators"": 50, ""min_samples_split"": 2, ""max_depth"": 2, ""class_weight"": null}",12
0.31359434127807617,0.015834206538211642,0.021404147148132324,0.0005310533552374126,100,2,2,,"{'n_estimators': 100, 'min_samples_split': 2, 'max_depth': 2, 'class_weight': None}",0.9375,1.0,0.75,1.0,0.921875,0.10245997694221876,3,"{""n_estimators"": 100, ""min_samples_split"": 2, ""max_depth"": 2, ""class_weight"": null}",12
0.15981853008270264,0.005536351457266311,0.015473783016204834,0.0022727320263232244,50,5,2,,"{'n_estimators': 50, 'min_samples_split': 5, 'max_depth': 2, 'class_weight': None}",0.875,1.0,0.75,1.0,0.90625,0.10364452469860624,16,"{""n_estimators"": 50, ""min_samples_split"": 5, ""max_depth"": 2, ""class_weight"": null}",12
0.3013271689414978,0.022736002491420052,0.021565616130828857,9.925666043858637e-05,100,5,2,,"{'n_estimators': 100, 'min_samples_split': 5, 'max_depth': 2, 'class_weight': None}",0.9375,1.0,0.75,1.0,0.921875,0.10245997694221876,3,"{""n_estimators"": 100, ""min_samples_split"": 5, ""max_depth"": 2, ""class_weight"": null}",12
0.14343827962875366,0.0024323318451882747,0.014557123184204102,0.0006614344162114991,50,10,2,,"{'n_estimators': 50, 'min_samples_split': 10, 'max_depth': 2, 'class_weight': None}",0.9375,1.0,0.75,0.9166666666666667,0.9010416666666667,0.0924387466109315,17,"{""n_estimators"": 50, ""min_samples_split"": 10, ""max_depth"": 2, ""class_weight"": null}",12
0.3400818109512329,0.0670091328963654,0.021900594234466553,0.00021973977233156068,100,10,2,,"{'n_estimators': 100, 'min_samples_split': 10, 'max_depth': 2, 'class_weight': None}",0.9375,1.0,0.75,0.9166666666666667,0.9010416666666667,0.0924387466109315,17,"{""n_estimators"": 100, ""min_samples_split"": 10, ""max_depth"": 2, ""class_weight"": null}",12
0.19305449724197388,0.02949416514550741,0.02895987033843994,0.015098580381368904,50,2,4,,"{'n_estimators': 50, 'min_samples_split': 2, 'max_depth': 4, 'class_weight': None}",0.9375,1.0,0.6666666666666666,1.0,0.9010416666666666,0.13770108402502382,29,"{""n_estimators"": 50, ""min_samples_split"": 2, ""max_depth"": 4, ""class_weight"": null}",12
0.32746297121047974,0.04330446889965027,0.022786259651184082,0.0011753674024248216,100,2,4,,"{'n_estimators': 100, 'min_samples_split': 2, 'max_depth': 4, 'class_weight': None}",0.9375,1.0,0.75,1.0,0.921875,0.10245997694221876,3,"{""n_estimators"": 100, ""min_samples_split"": 2, ""max_depth"": 4, ""class_weight"": null}",12
0.1846773624420166,0.013159200027854407,0.01659184694290161,0.004641890635646917,50,5,4,,"{'n_estimators': 50, 'min_samples_split': 5, 'max_depth': 4, 'class_weight': None}",0.9375,1.0,0.75,1.0,0.921875,0.10245997694221876,3,"{""n_estimators"": 50, ""min_samples_split"": 5, ""max_depth"": 4, ""class_weight"": null}",12
0.2951727509498596,0.016036269548512068,0.021646738052368164,0.0003162480682563056,100,5,4,,"{'n_estimators': 100, 'min_samples_split': 5, 'max_depth': 4, 'class_weight': None}",0.9375,1.0,0.75,1.0,0.921875,0.10245997694221876,3,"{""n_estimators"": 100, ""min_samples_split"": 5, ""max_depth"": 4, ""class_weight"": null}",12
0.15252065658569336,0.006219745469424568,0.013942897319793701,0.00033952979552497194,50,10,4,,"{'n_estimators': 50, 'min_samples_split': 10, 'max_depth': 4, 'class_weight': None}",0.9375,1.0,0.75,0.9166666666666667,0.9010416666666667,0.0924387466109315,17,"{""n_estimators"": 50, ""min_samples_split"": 10, ""max_depth"": 4, ""class_weight"": null}",12
0.2875686287879944,0.012518617734992821,0.02205348014831543,0.0007066728494427715,100,10,4,,"{'n_estimators': 100, 'min_samples_split': 10, 'max_depth': 4, 'class_weight': None}",0.9375,1.0,0.75,0.9166666666666667,0.9010416666666667,0.0924387466109315,17,"{""n_estimators"": 100, ""min_samples_split"": 10, ""max_depth"": 4, ""class_weight"": null}",12
0.14472287893295288,0.002012752932779757,0.013787150382995605,0.000644820722266122,50,2,,,"{'n_estimators': 50, 'min_samples_split': 2, 'max_depth': None, 'class_weight': None}",0.9375,1.0,0.6666666666666666,1.0,0.9010416666666666,0.13770108402502382,29,"{""n_estimators"": 50, ""min_samples_split"": 2, ""max_depth"": null, ""class_weight"": null}",12
0.2912318706512451,0.0038337017982483204,0.02461063861846924,0.0031330271806511802,100,2,,,"{'n_estimators': 100, 'min_samples_split': 2, 'max_depth': None, 'class_weight': None}",0.96875,1.0,0.75,1.0,0.9296875,0.10452412625202853,1,"{""n_estimators"": 100, ""min_samples_split"": 2, ""max_depth"": null, ""class_weight"": null}",12
0.15080934762954712,0.005177963990235341,0.013866603374481201,0.00024204831255267748,50,5,,,"{'n_estimators': 50, 'min_samples_split': 5, 'max_depth': None, 'class_weight': None}",0.9375,1.0,0.75,1.0,0.921875,0.10245997694221876,3,"{""n_estimators"": 50, ""min_samples_split"": 5, ""max_depth"": null, ""class_weight"": null}",12
0.2914857268333435,0.003949032038938777,0.02181297540664673,0.0006848309089946018,100,5,,,"{'n_estimators': 100, 'min_samples_split': 5, 'max_depth': None, 'class_weight': None}",0.9375,1.0,0.75,1.0,0.921875,0.10245997694221876,3,"{""n_estimators"": 100, ""min_samples_split"": 5, ""max_depth"": null, ""class_weight"": null}",12
0.14517539739608765,0.0005145677337630865,0.014194369316101074,0.0003401310943766281,50,10,,,"{'n_estimators': 50, 'min_samples_split': 10, 'max_depth': None, 'class_weight': None}",0.9375,1.0,0.75,0.9166666666666667,0.9010416666666667,0.0924387466109315,17,"{""n_estimators"": 50, ""min_samples_split"": 10, ""max_depth"": null, ""class_weight"": null}",12
0.28237301111221313,0.00392264220202696,0.02239549160003662,0.0015348210658834949,100,10,,,"{'n_estimators': 100, 'min_samples_split': 10, 'max_depth': None, 'class_weight': None}",0.9375,1.0,0.75,0.9166666666666667,0.9010416666666667,0.0924387466109315,17,"{""n_estimators"": 100, ""min_samples_split"": 10, ""max_depth"": null, ""class_weight"": null}",12
0.14803504943847656,0.004939969697684373,0.01393270492553711,0.0003009553200407753,50,2,2,balanced,"{'n_estimators': 50, 'min_samples_split': 2, 'max_depth': 2, 'class_weight': 'balanced'}",0.875,1.0,0.5833333333333334,1.0,0.8645833333333334,0.17020973581633533,35,"{""n_estimators"": 50, ""min_samples_split"": 2, ""max_depth"": 2, ""class_weight"": ""balanced""}",12
